name,frameTime,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
'F01-Session1-wav_headMic-0116.wav',0.0,38.33156,0.1095281,38.2691,39.06808,40.05841,1.789307,587.1633,866.3618,46.97861,44.52342,0.3719316,0.8928862,0.07182296,0.2698039,0.6488338,0.5770108,3.411521,1.563288,3.488692,1.845719,0.1223924,1.058928,22.33648,0.5575632,13.91743,0.7213413,1.145732,14.29632,-10.96071,-1.957116,0.01709719,2.137358,0.8151726,1.064327,12.23546,0.3016913,15.07654,0.5558012,34.29196,0.290861,709.2172,0.2905346,1400.68,0.1288838,-118.4688,-0.738171,1810.471,0.1470854,1128.163,0.3014651,-112.839,-0.7176052,2942.971,0.09498787,1052.517,0.3218149,-116.7444,-0.6604759,-20.55323,-0.4209662,32.58939,0.2905008,0.04131507,0.7912992,-0.02495224,-0.7476342,0.1828693,0.7409837,28.88738,0.322545,15.34266,0.6970956,-1.341406,-14.27652,-24.57596,-0.7526486,-13.04389,24.41849,-0.01320616,0.01038519,0.05781494,2.145046,2.363823,0.2086957,0.1594366,0.1756,0.1678113,-25.17384,1
'MC03-Session1-wav_headMic-0586.wav',0.0,14.02498,0.1546552,13.52956,13.53839,13.5525,0.02293873,5.641339,3.890914,152.3526,0,0.9011576,0.1754531,0.8277509,0.8428841,0.8773482,0.04959732,1.934759,1.840138,3.063826,1.762102,0.587714,0.5569942,15.52766,0.1789266,8.113618,0.3713848,11.05746,0.6390327,4.402215,0.8940015,0.0050826,3.718452,0.5575122,1.16942,1.756505,0.4153439,67.01502,0.7820776,23.15813,0.08484937,761.3555,0.1621741,1500.778,0.2509309,-30.51894,-1.236286,1633.626,0.1136507,1399.346,0.1981099,-35.05436,-1.053707,2581.859,0.06454086,1084.489,0.2602005,-38.23005,-0.9397661,-13.34513,-0.1628091,25.16911,0.09423546,-0.05891434,-0.1049574,-0.00635269,-0.9380693,0.5782663,0.5598212,15.51884,0.174785,8.098166,0.3474711,10.44821,0.6219341,4.389251,0.9095176,-13.17168,20.89532,-0.05070753,-0.003397531,0.8348027,1.234568,2.564103,0.355,0.3535887,0.02333333,0.004714045,-19.7276,0
'FC03-Session1-wav_headMic-0242.wav',0.0,32.16512,0.3036302,13.59434,36.37801,38.03387,24.43953,193.0879,143.7109,-58.44921,59.61468,1.044346,0.7469006,0.2984771,0.8048838,1.974268,1.675791,10.22647,6.936241,5.851105,3.19064,0.4839585,0.9081556,17.95385,0.6627764,4.206053,2.701124,9.38651,1.028317,-5.623601,-2.725721,0.0348717,2.374247,0.8953001,0.8820875,7.52974,0.6579915,21.95277,1.740131,24.18253,0.3102484,713.6472,0.2107761,1380.687,0.1514352,-112.2573,-0.7880135,1755.789,0.1032089,1037.748,0.2652144,-113.7078,-0.7284132,2773.206,0.06546164,894.8978,0.3447433,-116.0561,-0.6931704,-14.02701,-0.4353425,22.88081,0.3384667,0.006837823,4.593883,-0.02243873,-0.8194596,0.6554605,0.7106336,25.95904,0.4137905,2.304529,5.602654,8.601768,1.129389,-13.05824,-1.104969,-8.968995,18.78667,-0.02846111,-0.002278309,0.3399143,2.583026,3.773585,0.12,0.0981835,0.1127273,0.1043674,-16.56605,0
'MC01-Session2-wav_headMic-0268.wav',0.0,17.04129,0.3461495,12.60095,13.40295,24.97907,12.37812,16.84384,13.45778,43.89429,25.3173,0.1237193,1.154467,0.05709688,0.05874036,0.1420976,0.08500075,1.218045,0.7392738,1.711739,1.163532,0.03776815,1.176972,8.732986,0.9881458,8.444333,1.374753,16.95333,0.7258604,11.74722,0.4697112,0.02362408,1.490456,1.400839,0.843161,-0.2115604,-26.04311,43.47041,1.211473,27.86597,0.1540223,764.0966,0.3300304,1295.4,0.2153949,-166.6397,-0.3772142,1812.16,0.09285552,1012.236,0.271982,-168.1777,-0.3539436,2804.719,0.04671888,1046.114,0.3752753,-168.5458,-0.3493925,-17.63463,-0.2992109,26.08488,0.2115345,-0.03908801,-0.5001075,0.01261936,0.9138613,0.04957697,1.019798,13.52541,0.5199385,14.5191,0.5267617,25.56745,0.6761744,13.53463,0.2497817,-12.39141,22.85728,-0.04001427,0.01964734,0.03566417,1.25523,2.991453,0.05285714,0.03953815,0.2225,0.2083117,-39.51396,0
'MC02-Session1-wav_headMic-0068.wav',0.0,17.30344,0.2335484,13.53755,16.78878,21.44546,7.907907,46.65632,76.32676,38.52205,31.96823,0.8268999,0.816305,0.354037,0.5907193,1.232373,0.8783362,10.67355,6.980245,13.56159,10.3161,0.5020369,0.9089335,22.50908,0.5908251,8.501707,1.001571,10.0794,1.288666,7.755503,1.836829,0.009813054,1.14287,0.9125359,0.8020012,2.150099,0.960182,36.66177,1.305887,25.9841,0.2374977,733.0283,0.2829951,1391.326,0.1207747,-58.3358,-1.302796,1744.89,0.1349127,1227.807,0.266855,-65.43432,-1.097921,2738.68,0.08594836,1034.049,0.2903959,-69.07793,-1.011472,-15.13368,-0.3993425,26.48514,0.2039841,-0.03619236,-0.6417634,-0.01037415,-1.893397,0.5403233,0.9125312,25.36355,0.4999845,8.944231,1.007519,9.787245,1.432612,7.625255,2.050225,-9.955799,20.64278,-0.04045251,0.0005901921,0.4057931,2.285714,2.312139,0.32,0.2530481,0.111,0.04060788,-16.57751,0
'FC03-Session2-wav_headMic-0313.wav',0.0,27.55611,0.4448226,13.5347,33.60073,39.7425,26.2078,259.4572,399.4241,109.1637,108.1271,0.8515347,0.7672224,0.2952683,0.5497354,1.51242,1.217152,11.16968,6.334306,9.832262,4.599666,0.4490967,0.9850594,17.31563,0.6798413,5.503115,1.663793,2.614331,4.297685,-3.503216,-4.245848,0.01342599,1.381788,0.7482683,0.6575026,5.540882,0.874102,41.31433,1.358839,24.34996,0.2383606,707.3531,0.2403556,1381.295,0.1719413,-93.38644,-0.9458595,1689.651,0.1397563,1195.092,0.32362,-94.67271,-0.8747933,2741.344,0.07101379,952.4371,0.4122085,-98.79205,-0.804472,-11.75187,-0.4278766,24.43914,0.2834381,-0.01680962,-1.841934,-0.01316691,-1.418314,0.548939,0.9243914,21.79506,0.5463001,4.860895,2.274338,0.7922966,14.92373,-8.993201,-1.698546,-8.281809,18.47963,-0.03031032,-0.002275244,0.3244342,2.134146,3.426791,0.1627273,0.1555688,0.1072727,0.0853965,-18.77577,0
'FC02-Session3-wav_headMic-0058.wav',0.0,15.71466,0.441324,13.03504,13.42255,13.57219,0.5371532,41.71016,27.87526,346.5257,0,0.3699937,1.380987,0.2396575,0.2471338,0.254474,0.01481652,1.151471,0.8130273,3.611771,0,0.2815769,1.889171,14.6842,0.1902722,13.19432,0.3648084,12.15404,0.2429038,8.838853,1.11198,0.04443753,0.7268416,1.261464,0.6830332,-0.4277571,-4.817578,77.78392,0.8192128,29.61379,0.1950148,922.0251,0.1386629,1135.032,0.1078947,-153.1445,-0.4766522,1972.676,0.05443842,1055.104,0.2252079,-155.1163,-0.4513081,2902.668,0.04847682,849.7238,0.2528732,-155.517,-0.4460245,-17.08226,-0.201045,27.97226,0.2015195,-0.0572585,-0.4765103,-0.0002996337,-56.72071,0.3670191,1.874452,14.43657,0.2387903,12.38177,0.380294,12.2841,0.2321525,8.069172,1.575155,-17.18063,28.52448,-0.05780182,0.0005984888,0.2568631,0.4081632,3.781513,0.06,0.04853406,0.1844444,0.1270268,-22.9533,0
'F03-Session3-wav_headMic-0049.wav',0.0,18.40633,0.4816374,13.51044,13.55318,33.09688,19.58644,41.92495,29.269,136.1009,0,0.2384787,0.6830435,0.1248855,0.1519997,0.375158,0.2502725,6.210289,7.24491,2.521228,2.05035,0.07709926,0.8301362,12.20769,0.877085,9.043753,0.7858782,10.0736,0.6751691,3.291642,0.9758545,0.006192387,1.52922,1.19403,0.7265403,3.028137,1.486005,46.74194,1.026898,25.14411,0.2069938,745.8506,0.2165542,1402.806,0.1523158,-132.8778,-0.6213328,1811.861,0.07538681,1303.876,0.2585646,-137.0673,-0.5641066,2771.396,0.04242789,896.2955,0.2998582,-137.5884,-0.5566757,-18.36062,-0.2128717,30.0304,0.1199848,-0.0352223,-0.8433686,0.00262137,2.186304,0.09494398,1.015675,18.60273,0.173997,12.6758,0.6567125,11.2453,0.7356253,2.577561,1.202976,-10.10802,19.54201,-0.03933809,0.002174506,0.06780209,1.923077,3.97351,0.08333333,0.04853407,0.1483333,0.1464487,-32.80882,1
'FC03-Session2-wav_headMic-0307.wav',0.0,17.02659,0.4755577,13.50243,13.53115,13.57438,0.07194614,20.49869,11.74697,88.205,0,0.5127861,1.10032,0.2888391,0.2952985,0.4209988,0.1321597,2.33085,1.816425,6.14295,4.220627,0.3053359,1.544075,14.09317,0.5140774,8.791838,0.8674904,5.329076,1.579055,3.368169,2.180036,0.003304267,1.735569,1.012617,0.6456388,1.385641,1.997737,55.56322,0.932586,23.81017,0.1269765,812.0709,0.1709557,1330.721,0.128224,-110.2586,-0.7776091,1818.421,0.1117513,1171.894,0.1422053,-112.6112,-0.7297792,2833.501,0.07505313,897.2692,0.2029409,-114.5626,-0.7011375,-12.55367,-0.339675,24.01036,0.182671,-0.0380311,-0.6411016,-0.002906783,-4.036886,0.3338871,1.769527,14.29318,0.5532749,9.694248,0.6866716,5.330939,1.637298,2.341179,3.465792,-10.84415,23.16181,-0.03787099,-0.0006313962,0.2964459,1.507538,4.188482,0.10875,0.1287864,0.09666667,0.08717798,-21.33631,0
'F01-Session1-wav_headMic-0102.wav',0.0,28.64499,0.40706,13.65751,37.40347,37.72555,24.06804,144.6915,0,-62.46005,0,0.2414632,1.117808,0.04092721,0.1098427,0.4711802,0.430253,0.8824174,0.6042758,1.865581,0,0.08575155,1.157282,25.09767,0.3946599,16.25314,0.5579531,4.493412,4.010439,0.9522256,17.15421,0.02989252,0.7481448,1.010397,0.7970902,6.429048,0.8997023,47.00473,1.164988,33.12619,0.1910878,787.0913,0.3421308,1300.634,0.2037727,-86.11482,-0.9195076,1821.266,0.1834402,1192.938,0.3586422,-82.69602,-0.879584,2920.877,0.08489975,948.8218,0.2648929,-88.8868,-0.7625082,-22.8732,-0.4194447,38.47839,0.1831938,-0.0006474124,-92.6247,-0.0008485159,-21.64808,0.111615,1.002921,27.89531,0.3418974,17.20532,0.5640495,1.346032,14.81242,-2.073517,-8.710011,-16.79535,31.21576,-0.02860518,0.01799855,0.04824465,1.075269,3.488372,0.1933333,0.1357285,0.07333333,0.04027682,-29.79152,1
