name,frameTime,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,label
'HC_FREE_0120.wav',0.0,30.11075,0.1777685,27.79075,30.85764,34.02055,6.229801,278.8759,338.9022,205.5506,476.9777,0.2152959,0.6884813,0.08489519,0.1636939,0.3358956,0.2510004,3.342816,2.466928,2.646543,1.94437,0.06929944,0.8888528,18.38787,0.7799011,10.93616,0.97948,15.11657,0.7357313,0.009908529,1200.815,0.04011981,2.265866,0.9592794,0.9971676,6.897901,0.7116567,7.834925,2.366722,26.27604,0.6526477,500.0651,0.3257907,1237.236,0.1725535,-97.66675,-0.9578542,1582.187,0.1579435,941.9779,0.3772671,-104.6852,-0.810353,2667.978,0.09142862,766.7149,0.5089089,-106.8878,-0.7727107,-19.87434,-0.3308674,27.86265,0.2302047,0.009266107,3.610844,-0.02401147,-0.534233,0.09669222,0.6356838,29.75768,0.2664598,14.67665,0.8329975,16.83627,0.8302329,-5.907544,-2.169698,-12.55626,18.6619,-0.0666927,-0.005359237,0.03592694,2.58729,1.483904,0.3622034,0.4469143,0.2923729,0.4931234,-42.14192,0
'HC_FREE_0134.wav',0.0,26.78071,0.204064,23.71242,27.29546,31.14834,7.435919,190.1509,257.478,234.3888,400.4195,0.577487,0.7609074,0.1531359,0.4809066,0.9513718,0.7982359,11.62419,6.445856,10.45786,6.35154,0.3765369,1.069287,21.27846,0.7229155,10.96848,0.9306393,12.61036,1.146437,5.610511,2.086837,0.04418906,2.240077,1.270395,0.9245127,4.631796,1.159932,8.147123,2.183897,25.17281,0.6482668,486.6189,0.3533453,1216.066,0.2036259,-81.12871,-1.098489,1530.295,0.1636306,871.5452,0.3569886,-87.87869,-0.9338216,2553.241,0.0964797,857.398,0.4336733,-91.32165,-0.8676167,-17.60049,-0.3723226,26.57734,0.2435833,-0.0008065372,-49.00282,-0.02229602,-0.6323319,0.5157736,0.812983,30.34495,0.3373784,12.12931,0.9029939,12.8685,1.3574,4.411437,3.1287,-10.11102,16.5358,-0.0594126,-0.00615708,0.1367889,3.952802,2.26378,0.27,0.2093966,0.1514035,0.179169,-29.02919,0
'HC_FREE_0068.wav',0.0,27.61204,0.2386564,23.73901,28.83757,31.82466,8.085651,296.6854,333.7662,344.4572,896.4254,0.2911502,0.7344033,0.08125719,0.2583664,0.4603565,0.3790993,4.781896,2.865811,3.862978,2.708632,0.1807503,0.9762915,25.78495,0.5789788,14.1351,0.8330544,18.82808,0.6812397,5.256378,1.844518,0.05752935,1.896568,1.141869,1.084393,5.589469,1.124753,8.804989,2.306458,31.02254,0.6143858,551.776,0.2933453,1332.157,0.1614598,-95.39326,-0.9273841,1644.651,0.1465273,1002.489,0.4453191,-103.426,-0.7699619,2704.919,0.08630721,800.861,0.439847,-106.0352,-0.7280477,-24.13557,-0.2985928,32.95915,0.2316997,-0.001216481,-30.24952,-0.02502426,-0.4347051,0.2405315,0.7681731,35.18156,0.2890762,18.40969,0.5983617,22.03112,0.6398335,3.651745,2.692752,-13.80934,20.72208,-0.05842637,-0.00955193,0.09982757,3.971813,2.382486,0.2313513,0.2327643,0.1605263,0.2103624,-34.72137,0
'HC_FREE_0054.wav',0.0,28.91502,0.1276541,27.48843,29.13435,31.29628,3.807844,157.0168,135.1087,118.5346,150.5502,0.3727378,0.7584614,0.07978567,0.3026336,0.6717556,0.59197,5.768764,3.215631,4.684416,2.791558,0.1524507,1.031201,27.59332,0.6299609,8.551358,1.402097,8.706062,1.6231,9.205949,0.9614518,0.0252721,2.788059,0.8969985,1.169272,7.658758,0.5480507,7.139522,2.322843,28.51175,0.5085313,516.5267,0.3115262,1344.468,0.1670194,-81.49473,-1.122591,1538.209,0.1384515,1032.02,0.3425413,-89.96396,-0.9309689,2508.514,0.11735,958.5927,0.3835303,-94.84914,-0.8419882,-19.45039,-0.3960838,29.33417,0.2642478,0.02891364,1.26539,-0.02392972,-0.5824182,0.2005243,0.7536547,38.80474,0.2633929,10.49484,1.15331,8.417367,2.005733,8.286466,1.120924,-12.08424,19.58661,-0.04925846,-0.004517831,0.07288305,2.955301,1.776462,0.3404167,0.2324235,0.1973469,0.291546,-34.37103,0
'HC_FREE_0083.wav',0.0,24.51973,0.1461867,23.31608,25.01538,26.40105,3.084976,351.7924,404.7467,124.2626,214.1911,0.571926,0.5541731,0.2928852,0.4966091,0.8075691,0.5146839,5.688025,3.857054,5.439403,3.562541,0.2665139,0.9834152,20.27483,0.5550992,8.438425,0.8596472,10.45523,0.9018838,4.433731,2.025193,0.03199543,2.405772,1.072964,0.8619817,3.883021,1.129506,0.2820126,36.02252,19.29597,0.4590021,460.6322,0.3434006,1208.338,0.1669131,-77.21292,-1.166203,1452.913,0.1550636,907.637,0.2614117,-85.4232,-0.9736518,2447.151,0.09524221,755.775,0.2632118,-88.15756,-0.919911,-15.20313,-0.2950369,22.89823,0.2444413,-0.0003687832,-79.4782,-0.0219379,-0.5449284,0.3278539,0.7218173,26.66477,0.3225284,9.982029,0.8149427,12.41807,0.8753589,4.424122,2.451884,-7.698689,16.4025,-0.02686633,-0.005311369,0.1559832,3.038674,2.016608,0.3086275,0.3158122,0.1766667,0.2075485,-32.28918,0
'HC_FREE_0082.wav',0.0,31.17162,0.1829793,29.05075,31.65991,34.11571,5.064955,246.4966,268.1695,175.1654,328.9571,0.4010226,0.7839503,0.08505598,0.340521,0.6685714,0.5835154,8.326344,4.66652,5.989962,4.234469,0.2243523,1.050102,30.6126,0.4868426,12.46766,0.8594119,14.35242,0.9845214,-1.660037,-9.386672,0.04315262,2.1293,1.026111,1.068364,7.620549,0.6585457,6.447691,2.382044,31.07107,0.4964143,576.3577,0.2647554,1293.446,0.1545129,-74.75083,-1.135696,1652.27,0.1689549,922.2356,0.4160256,-83.17252,-0.9155009,2699.487,0.08631415,863.7701,0.5023541,-87.68641,-0.8319835,-22.87049,-0.2930209,32.53212,0.2363023,0.03152139,1.237472,-0.03167434,-0.4212552,0.2931557,0.8396343,38.5355,0.2650045,13.17548,0.9055991,16.67203,0.9496859,-6.387066,-2.444017,-16.30809,22.34133,-0.05038364,-0.01278752,0.07621243,3.429505,2.292577,0.2885714,0.2235383,0.1455556,0.2119151,-31.61842,0
'HC_FREE_0055.wav',0.0,23.90766,0.1491863,22.03892,23.93453,26.29023,4.251308,224.1209,470.0409,85.57375,118.975,0.3881629,0.6300216,0.1643616,0.3374925,0.5952405,0.4308789,5.435606,3.386137,4.765879,2.980599,0.1771905,0.8021517,33.20423,0.4887834,9.712931,1.206613,11.69487,1.525003,6.380246,1.588176,0.03221925,2.54003,1.160412,1.008292,4.382175,0.9910636,3.101337,4.925903,27.463,0.3636236,470.1289,0.2419973,1283.317,0.1479824,-56.3735,-1.433855,1510.94,0.1597958,982.2294,0.399591,-68.90955,-1.067914,2505.323,0.08857726,918.0488,0.4580548,-74.09115,-0.9497105,-19.60431,-0.3410109,28.46486,0.2554551,0.01447726,2.119708,-0.02740931,-0.5094744,0.2101981,0.6779399,40.10024,0.2777741,11.70177,0.9835446,12.13979,1.638977,6.672485,1.623664,-11.10281,19.68977,-0.03495795,-0.008357848,0.08009548,3.640351,2.004389,0.3627007,0.3237204,0.12608,0.1764444,-34.27766,0
'HC_FREE_0069.wav',0.0,26.26896,0.14361,23.87026,26.56635,28.87962,5.009352,199.8583,160.4822,73.43829,108.6471,0.3910513,0.7712684,0.1268847,0.2905646,0.6643445,0.5374598,6.429782,3.947165,4.981414,3.369261,0.1294075,0.9245622,30.76611,0.4416908,6.662572,2.060458,19.59255,0.7676527,-3.022952,-4.272271,0.03228734,2.947474,1.049966,1.125559,6.106255,0.7218433,5.106321,2.832731,26.92599,0.4129124,502.5354,0.294197,1247.228,0.1958097,-58.72687,-1.383639,1570.865,0.1600811,883.5526,0.4436379,-69.83614,-1.068485,2604.045,0.09828784,926.6299,0.4795834,-73.34452,-0.9875125,-18.44827,-0.3996211,27.14662,0.2742021,0.02316643,1.407759,-0.02783269,-0.4925184,0.1562504,0.7843257,36.9367,0.2403819,6.68053,2.248616,22.5009,0.7065071,-5.795565,-2.239507,-12.55563,20.07277,-0.03698157,-0.01213649,0.0519122,3.220906,1.643335,0.4425926,0.3934895,0.1507692,0.2048531,-35.51855,0
'HC_FREE_0135.wav',0.0,19.77508,0.168549,16.95353,19.37141,22.65393,5.700403,174.7404,219.1566,62.73123,134.1538,0.2139075,0.7051499,0.1009727,0.1573307,0.304022,0.2030493,3.206305,2.525842,2.827377,2.156,0.08631764,0.9475394,20.79404,0.6582921,10.72881,0.798687,16.70288,0.6252692,7.435994,1.125472,0.03019791,1.564431,1.304932,0.8853093,2.875614,1.204512,6.464357,2.180582,26.34782,0.3452442,510.2733,0.3086173,1272.291,0.1869039,-92.66002,-0.9737159,1577.916,0.1283676,1006.191,0.3669933,-101.5939,-0.8107028,2569.681,0.1163382,1020.506,0.4744114,-103.1305,-0.7848408,-20.58237,-0.249974,28.16942,0.1903813,-0.01682784,-1.834107,-0.02361285,-0.6188674,0.1260753,0.6247928,30.34903,0.3254654,15.21246,0.5327658,20.11876,0.6111575,5.659732,1.795883,-9.678841,14.48739,-0.06127558,-0.002734418,0.03246873,2.327897,1.918286,0.2894156,0.2142285,0.2253472,0.3765816,-40.42474,0
'HC_FREE_0121.wav',0.0,24.91316,0.1318161,23.60023,25.22764,27.21534,3.615116,334.8717,323.944,120.0913,260.9064,0.1870298,0.523481,0.09421575,0.1591941,0.2772165,0.1830008,2.448224,1.440529,2.061261,1.447345,0.05571757,0.7185813,21.38692,0.6079792,12.02978,0.6630231,13.76953,0.9122795,7.376037,1.278016,0.03668303,2.485447,1.226656,0.8210682,4.632683,0.7652642,2.473844,8.586024,19.42009,0.474589,501.4516,0.3276489,1297.074,0.1745455,-81.97775,-1.078986,1546.623,0.1548293,1030.01,0.4140316,-90.44556,-0.901216,2509.054,0.1512052,962.8154,0.4057887,-92.62954,-0.8610245,-18.4963,-0.2561095,26.86396,0.1659524,-0.009229167,-2.897304,-0.0224647,-0.5451546,0.07133292,0.5450487,29.63553,0.274931,14.14161,0.6142707,14.43413,1.046967,6.792663,1.635956,-12.78792,19.94989,-0.06121638,-0.0052876,0.02891459,3.43458,1.824561,0.3365385,0.3556786,0.1985333,0.2756021,-44.99043,0
